lot_area,mas_vnr_area,total_bsmt_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,garage_area,wood_deck_sf,open_porch_sf,screen_porch,misc_val,land_slope,overall_qual,overall_cond,exter_qual,bsmt_qual,bsmt_cond,bsmt_exposure,heating_qc,kitchen_qual,functional,fireplace_qu,garage_finish,pool_qc,saleprice,years_since_built,years_since_remod,ms_subclass_20,ms_subclass_120,ms_subclass_30,ms_subclass_70,ms_subclass_160,ms_subclass_75,ms_subclass_180,ms_zoning_RM,ms_zoning_C (all),land_contour_HLS,land_contour_Bnk,lot_config_Corner,lot_config_CulDSac,roof_style_Hip,roof_style_Gambrel,roof_style_Mansard,roof_matl_CompShg,roof_matl_WdShngl,exterior_1st_HdBoard,exterior_1st_Wd Sdng,exterior_1st_CemntBd,exterior_1st_BrkFace,exterior_1st_Stucco,foundation_PConc,heating_Wall,garage_type_Basment,misc_feature_Shed,misc_feature_Gar2,misc_feature_Othr,sale_type_New,sale_type_COD,sale_type_Con,neighborhood_NAmes,neighborhood_OldTown,neighborhood_Edwards,neighborhood_Somerst,neighborhood_NridgHt,neighborhood_Mitchel,neighborhood_BrkSide,neighborhood_Crawfor,neighborhood_NoRidge,neighborhood_StoneBr,neighborhood_NPkVill,neighborhood_GrnHill
1680,232.0,483.0,987,0.0,1,1,2,1,264.0,0,0,0,0,3,6,5,3,3,3,1,3,3,8,0,1,0,85400,49,49,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7488,0.0,1208.0,1208,0.0,2,0,2,1,632.0,105,58,0,0,3,7,5,4,4,3,3,5,4,8,0,2,0,183600,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26400,0.0,0.0,2016,0.0,1,0,4,1,576.0,0,0,0,0,3,5,7,4,0,0,0,5,3,5,3,1,0,131000,140,13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2645,456.0,960.0,1607,1.0,2,1,3,1,480.0,169,0,0,0,3,8,5,4,4,3,1,5,4,8,0,1,0,200000,21,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9627,0.0,1351.0,1361,0.0,2,0,3,1,610.0,0,50,0,0,3,7,5,4,4,3,3,5,4,8,0,2,0,193000,13,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10114,0.0,1430.0,1430,0.0,2,0,3,1,624.0,0,0,0,0,3,5,5,3,5,3,3,5,4,8,0,2,0,173500,16,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4571,0.0,624.0,1344,0.0,1,0,4,1,513.0,0,0,0,0,3,5,5,3,3,3,1,2,3,8,0,1,0,98000,104,70,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8816,0.0,1121.0,1121,1.0,1,0,3,1,480.0,0,80,0,0,3,5,6,3,3,3,1,3,3,8,0,1,0,139000,57,57,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8197,148.0,660.0,1285,0.0,1,1,3,1,528.0,138,0,0,0,3,6,5,3,3,3,1,5,3,8,3,2,0,143500,43,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8640,0.0,756.0,1547,0.0,2,1,3,1,614.0,169,45,0,0,3,7,5,3,4,3,2,5,4,8,0,1,0,215200,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8724,0.0,894.0,894,0.0,1,0,3,1,450.0,0,0,0,0,3,5,5,3,4,3,1,4,3,8,1,3,0,129000,52,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5664,0.0,1501.0,1659,1.0,2,0,2,1,499.0,212,59,0,0,3,8,5,4,4,3,1,5,5,8,5,3,0,278000,20,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12867,0.0,1209.0,2253,0.0,2,1,3,1,575.0,243,142,0,0,3,8,5,4,5,3,3,5,5,8,4,3,0,344133,15,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7980,0.0,1168.0,1187,1.0,2,0,3,1,420.0,483,21,0,500,3,6,7,3,4,3,1,5,3,8,0,3,0,185000,28,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34650,0.0,1056.0,1056,1.0,1,0,3,1,572.0,264,0,0,0,3,5,5,3,3,3,2,3,3,8,0,3,0,145000,65,65,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10573,3.0,1453.0,1453,1.0,2,0,3,1,530.0,0,49,288,0,3,6,6,3,3,3,1,5,3,8,3,2,0,187500,59,59,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8450,0.0,894.0,894,1.0,1,0,3,1,336.0,416,144,0,0,3,5,8,3,3,3,1,5,3,8,4,1,0,138500,55,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11700,0.0,942.0,1938,0.0,2,0,4,1,240.0,0,40,0,0,2,5,6,3,3,3,1,5,4,6,4,1,0,198000,83,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8250,0.0,957.0,1991,0.0,2,0,4,2,0.0,0,0,0,0,3,5,6,3,3,3,1,2,3,8,0,0,0,119600,125,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8064,0.0,672.0,924,0.0,1,0,3,1,576.0,0,0,0,2000,3,5,7,3,3,3,2,5,3,8,1,1,0,122900,71,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9600,0.0,2524.0,2524,1.0,2,1,4,1,542.0,474,120,0,0,3,8,5,4,4,3,1,3,4,8,4,3,0,278000,39,39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11435,0.0,792.0,1517,0.0,1,0,3,1,400.0,0,0,0,0,2,8,7,3,4,3,1,2,4,8,4,1,0,230000,91,70,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9549,0.0,1494.0,1494,1.0,1,1,2,1,481.0,0,30,216,0,3,8,5,4,4,4,3,5,5,8,4,3,0,270000,25,24,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10950,0.0,948.0,948,0.0,1,0,2,1,410.0,0,48,0,0,3,6,6,3,3,3,1,3,3,8,0,1,0,125000,68,68,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10637,336.0,1705.0,1718,1.0,2,0,3,1,826.0,208,44,0,0,3,8,5,4,5,3,4,5,4,8,4,2,0,297000,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000,82.0,160.0,1142,0.0,1,0,2,1,384.0,0,28,0,0,2,6,6,3,4,3,4,2,3,8,4,2,0,113500,62,62,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2665,0.0,757.0,1475,0.0,2,0,4,1,336.0,104,26,0,0,3,5,6,3,3,3,1,5,3,8,3,2,0,127000,43,43,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11751,480.0,1844.0,1844,0.0,2,0,3,1,546.0,0,122,0,0,3,6,6,3,4,3,1,5,3,8,3,2,0,190000,43,43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9600,320.0,1242.0,1242,0.0,1,1,3,1,528.0,0,0,0,0,3,7,6,3,3,3,1,2,3,8,3,1,0,175500,47,47,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8428,0.0,990.0,990,1.0,1,0,3,1,384.0,256,0,0,0,3,5,7,3,4,4,1,5,3,8,0,1,0,146000,26,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9937,0.0,1256.0,1256,1.0,1,1,3,1,276.0,736,68,0,0,3,5,6,4,3,3,1,4,3,8,0,3,0,147500,55,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13891,0.0,2076.0,2076,1.0,2,1,2,1,850.0,216,229,0,0,3,10,5,5,5,4,4,5,5,8,4,3,0,465000,14,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9101,104.0,1097.0,1110,1.0,1,0,1,1,602.0,303,30,0,0,3,5,6,3,4,3,3,5,4,8,3,3,0,165500,42,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12150,335.0,1050.0,1795,0.0,2,0,4,1,352.0,0,0,0,0,3,5,5,3,3,3,1,5,3,8,0,1,0,131500,66,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11200,0.0,1040.0,1040,1.0,1,0,3,1,384.0,0,0,0,0,3,5,5,3,3,3,1,5,3,8,0,1,0,129500,55,55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9670,40.0,608.0,1873,0.0,1,1,4,1,786.0,0,0,0,0,2,8,6,3,3,2,1,3,3,8,4,3,0,257076,85,70,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10998,0.0,984.0,1604,0.0,2,0,3,1,660.0,0,68,0,0,3,5,5,3,3,3,1,5,3,6,0,1,0,117000,79,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7200,0.0,776.0,1502,0.0,1,1,3,1,270.0,0,0,0,0,2,7,6,3,4,3,1,3,3,8,4,2,0,149000,89,20,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9920,110.0,1056.0,1063,1.0,1,0,3,1,280.0,0,0,0,0,3,5,5,3,3,3,1,3,3,8,0,2,0,128000,66,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2448,106.0,764.0,1626,0.0,2,1,2,1,474.0,0,27,0,0,3,7,5,4,4,3,1,5,4,8,0,2,0,155000,17,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2998,513.0,756.0,1524,0.0,2,1,2,1,440.0,0,32,0,0,3,6,5,4,4,3,1,5,4,8,0,1,0,166000,20,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7804,0.0,1122.0,1981,1.0,2,0,4,1,576.0,431,44,0,0,3,4,3,3,3,3,1,3,4,6,3,1,0,135000,92,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16692,184.0,1392.0,2784,1.0,3,1,5,1,564.0,0,112,440,2000,3,7,5,3,4,3,1,3,4,8,3,2,2,250000,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1476,0.0,546.0,1092,0.0,1,1,3,1,0.0,200,26,0,0,3,4,7,3,3,3,1,5,3,8,0,0,0,76000,50,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10170,522.0,216.0,1575,0.0,1,1,2,1,400.0,0,0,0,0,3,6,6,3,3,3,1,3,4,8,4,1,0,155000,69,69,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9364,143.0,663.0,1352,0.0,1,1,4,1,299.0,379,36,0,0,3,6,7,3,3,3,1,3,3,8,0,3,0,158000,51,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2544,0.0,600.0,1200,1.0,2,1,2,1,480.0,0,172,0,0,3,7,5,4,4,3,1,5,4,8,0,2,0,149500,16,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9888,0.0,936.0,936,0.0,1,0,2,1,240.0,0,0,0,0,3,5,6,3,3,3,1,3,3,8,0,1,0,121000,66,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7942,0.0,1040.0,1040,0.0,1,0,3,1,293.0,0,0,0,0,3,6,7,3,3,3,1,3,3,8,0,3,0,136000,67,67,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15038,0.0,916.0,1636,0.0,2,1,3,1,386.0,168,84,0,0,3,6,5,3,4,3,1,4,3,8,3,3,0,173000,24,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11764,348.0,1152.0,2270,0.0,2,1,4,1,671.0,132,57,0,0,3,8,7,4,4,3,1,5,4,8,4,3,0,290000,21,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9000,0.0,1184.0,2610,0.0,2,1,4,1,550.0,208,364,0,0,3,8,5,4,4,3,3,5,5,8,4,3,0,303477,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20062,0.0,1420.0,1483,1.0,1,1,1,1,690.0,496,0,0,0,2,7,7,4,4,3,4,4,3,8,3,2,0,270000,43,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7308,0.0,936.0,1740,0.0,1,0,2,1,225.0,0,0,0,0,3,5,5,2,3,3,1,4,5,8,4,1,0,122250,100,70,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8750,0.0,1382.0,1382,0.0,1,0,3,1,350.0,280,0,0,0,3,5,5,3,3,3,1,4,4,8,0,1,0,153000,65,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8402,0.0,1120.0,1120,0.0,1,0,3,1,0.0,0,30,0,0,3,5,5,3,4,3,1,5,3,8,0,0,0,147000,13,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4000,0.0,531.0,1098,1.0,1,0,2,1,216.0,0,0,0,0,3,7,8,3,4,3,1,3,3,8,4,1,0,148500,90,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3363,117.0,976.0,1708,0.0,2,0,3,1,380.0,0,40,0,0,3,7,5,4,4,3,1,5,4,4,0,1,0,130000,16,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13615,510.0,1802.0,1802,0.0,2,1,3,1,843.0,158,105,0,0,2,9,5,5,5,3,4,5,5,8,4,3,0,372000,14,14,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3013,145.0,1362.0,1506,0.0,2,0,2,1,440.0,142,20,0,0,3,7,5,4,4,3,4,5,4,8,4,3,0,213490,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17485,96.0,1508.0,1508,1.0,1,0,1,1,572.0,0,0,0,0,3,7,5,4,4,3,4,5,4,8,3,2,0,308030,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
23730,668.0,1840.0,2032,1.0,3,0,3,1,786.0,0,46,0,0,3,7,5,4,5,3,2,5,4,8,0,3,0,300000,24,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8910,0.0,655.0,1194,0.0,1,0,3,1,539.0,0,0,0,0,3,6,6,3,3,3,2,5,3,8,2,3,0,159500,61,61,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2522,50.0,970.0,1709,0.0,2,0,3,1,380.0,0,40,0,0,3,7,5,4,4,3,1,5,4,4,0,1,0,137500,16,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8688,228.0,1616.0,1616,0.0,2,0,3,1,834.0,208,59,0,0,3,7,5,4,4,3,3,5,4,8,0,2,0,232000,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6291,0.0,768.0,768,0.0,1,0,1,1,440.0,0,0,0,0,3,6,6,4,3,3,1,3,3,8,0,1,0,93850,90,70,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17529,65.0,872.0,872,0.0,1,0,2,1,322.0,0,0,0,0,3,5,5,3,3,3,1,2,2,5,4,1,0,105000,96,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6324,0.0,520.0,520,0.0,1,0,1,1,240.0,49,0,0,0,3,4,6,3,3,3,1,2,2,8,0,1,0,68500,93,70,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11600,361.0,1105.0,2274,0.0,2,0,5,2,480.0,0,0,0,0,3,5,5,3,3,3,1,3,3,8,0,1,0,154300,60,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
